food_id,food_name,category,state,region,region_code,diet_type,diet_code,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,prebiotic_score,fodmap_level,is_fermented,description,clinical_benefit,image_path
20,Lauki Bhujia,Side_Dish,Pan-India,Pan-India,6,veg,0,159,5.2,18.5,5.4,4.7,3,Medium,0,"Authentic Pan-India preparation of Lauki Bhujia, served as a side dish.","Provides authentic, calorically dense macronutrients for energy restoration.",images/20.jpg
21,Ragi Idli,Breads_Rice,Tamil Nadu,South,2,veg,0,181,5.1,34.6,5.4,3.9,7,Low,1,"Authentic Tamil Nadu preparation of Ragi Idli, served as a breads rice.",Enhances probiotic density and boosts lactic-acid bacteria.,images/21.jpg
22,Panchratna Dal Dhaba Style,Dals_Legumes,Pan-India,Pan-India,6,veg,0,210,14.5,36.1,4.2,11.7,8,High,0,"Authentic Pan-India preparation of Panchratna Dal Dhaba Style, served as a dals legumes.",Provides dense prebiotic fuel for butyrate-producing SCFA bacteria.,images/22.jpg
23,Prawn Kolhapuri,Main_Course,Maharashtra,West,3,non-veg,1,187,21.1,3.3,6.7,0.4,0,Medium,0,"Authentic Maharashtra preparation of Prawn Kolhapuri, served as a main course.",Supports lean muscle synthesis without aggravating bile-tolerant pathogens.,images/23.jpg
24,Chole Amritsari,Dals_Legumes,Punjab,North,1,veg,0,242,18.5,40.9,3.4,12.9,9,High,0,"Authentic Punjab preparation of Chole Amritsari, served as a dals legumes.",Provides dense prebiotic fuel for butyrate-producing SCFA bacteria.,images/24.jpg
25,Paper Dosa,Breads_Rice,Pan-India,Pan-India,6,veg,0,172,4.7,32.5,2.9,3.2,7,Medium,1,"Authentic Pan-India preparation of Paper Dosa, served as a breads rice.",Enhances probiotic density and boosts lactic-acid bacteria.,images/25.jpg
26,Beetroot Fry,Side_Dish,Pan-India,Pan-India,6,veg,0,152,6.5,16.9,5.4,4.9,3,Medium,0,"Authentic Pan-India preparation of Beetroot Fry, served as a side dish.","Provides authentic, calorically dense macronutrients for energy restoration.",images/26.jpg
27,Fish Malai Curry,Main_Course,West Bengal,East,4,non-veg,1,238,16.2,6.3,22.2,2.0,1,Low,0,"Authentic West Bengal preparation of Fish Malai Curry, served as a main course.",Low-FODMAP profile prevents bloating and supports IBS management.,images/27.jpg
28,Cashew Pasanda,Main_Course,Pan-India,Pan-India,6,veg,0,155,6.4,18.0,8.0,3.7,2,Medium,0,"Authentic Pan-India preparation of Cashew Pasanda, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/28.jpg
29,Masala Papad,Side_Dish,Pan-India,Pan-India,6,veg,0,142,4.5,21.1,5.2,3.4,2,High,0,"Authentic Pan-India preparation of Masala Papad, served as a side dish.","Provides authentic, calorically dense macronutrients for energy restoration.",images/29.jpg
30,Capsicum Poriyal,Side_Dish,Tamil Nadu,South,2,veg,0,163,4.3,17.8,6.9,4.9,3,Medium,0,"Authentic Tamil Nadu preparation of Capsicum Poriyal, served as a side dish.","Provides authentic, calorically dense macronutrients for energy restoration.",images/30.jpg
31,Fish Achari Tikka,Appetizers,Punjab,North,1,non-veg,1,148,20.7,0.5,9.7,1.2,0,Low,0,"Authentic Punjab preparation of Fish Achari Tikka, served as a appetizers.",Low-FODMAP profile prevents bloating and supports IBS management.,images/31.jpg
32,Jackfruit Do Pyaza,Main_Course,Pan-India,Pan-India,6,veg,0,149,5.9,20.3,3.1,5.2,3,Medium,0,"Authentic Pan-India preparation of Jackfruit Do Pyaza, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/32.jpg
33,Dahi Puri,Snacks,Pan-India,Pan-India,6,veg,0,130,6.3,21.6,4.8,5.8,4,Medium,0,"Authentic Pan-India preparation of Dahi Puri, served as a snacks.","Provides authentic, calorically dense macronutrients for energy restoration.",images/33.jpg
34,Kulfi,Desserts,Pan-India,Pan-India,6,veg,0,305,4.6,52.9,14.2,0.0,0,Medium,0,"Authentic Pan-India preparation of Kulfi, served as a desserts.","Provides authentic, calorically dense macronutrients for energy restoration.",images/34.jpg
35,Prawn Rogan Josh,Main_Course,Jammu & Kashmir,North,1,non-veg,1,174,21.7,4.4,6.5,0.4,0,Medium,0,"Authentic Jammu & Kashmir preparation of Prawn Rogan Josh, served as a main course.",Supports lean muscle synthesis without aggravating bile-tolerant pathogens.,images/35.jpg
36,Duck Butter Masala,Main_Course,Pan-India,Pan-India,6,non-veg,1,202,4.7,22.5,11.9,3.8,2,High,0,"Authentic Pan-India preparation of Duck Butter Masala, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/36.jpg
37,Prawn Galouti Kebab,Appetizers,Uttar Pradesh,North,1,non-veg,1,209,20.1,0.5,8.4,0.0,0,Medium,0,"Authentic Uttar Pradesh preparation of Prawn Galouti Kebab, served as a appetizers.",Supports lean muscle synthesis without aggravating bile-tolerant pathogens.,images/37.jpg
38,Set Dosa,Breads_Rice,Pan-India,Pan-India,6,veg,0,163,5.4,35.5,4.6,3.6,7,Medium,1,"Authentic Pan-India preparation of Set Dosa, served as a breads rice.",Enhances probiotic density and boosts lactic-acid bacteria.,images/38.jpg
39,Cashew Do Pyaza,Main_Course,Pan-India,Pan-India,6,veg,0,149,7.7,24.2,4.1,3.4,2,Medium,0,"Authentic Pan-India preparation of Cashew Do Pyaza, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/39.jpg
40,Chicken Bhajiya,Snacks,Pan-India,Pan-India,6,non-veg,1,247,26.9,1.1,11.2,1.1,0,Medium,0,"Authentic Pan-India preparation of Chicken Bhajiya, served as a snacks.","Provides authentic, calorically dense macronutrients for energy restoration.",images/40.jpg
41,Prawn Malai Curry,Main_Course,West Bengal,East,4,non-veg,1,249,19.6,2.0,21.3,0.0,0,Medium,0,"Authentic West Bengal preparation of Prawn Malai Curry, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/41.jpg
42,Yellow Dal Jeera,Dals_Legumes,Pan-India,Pan-India,6,veg,0,229,15.2,35.1,5.8,10.8,7,High,0,"Authentic Pan-India preparation of Yellow Dal Jeera, served as a dals legumes.",Provides dense prebiotic fuel for butyrate-producing SCFA bacteria.,images/42.jpg
43,Urad Dal Makhani,Dals_Legumes,Punjab,North,1,veg,0,357,13.5,41.7,15.2,12.3,8,High,0,"Authentic Punjab preparation of Urad Dal Makhani, served as a dals legumes.",Provides dense prebiotic fuel for butyrate-producing SCFA bacteria.,images/43.jpg
44,Kofta Makhani,Main_Course,Punjab,North,1,veg,0,212,4.8,26.8,18.9,3.2,2,High,0,"Authentic Punjab preparation of Kofta Makhani, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/44.jpg
45,Karela Mezhukkupuratti,Side_Dish,Pan-India,Pan-India,6,veg,0,208,1.9,24.3,4.4,4.3,3,Medium,0,"Authentic Pan-India preparation of Karela Mezhukkupuratti, served as a side dish.","Provides authentic, calorically dense macronutrients for energy restoration.",images/45.jpg
46,Oats Idli,Breads_Rice,Tamil Nadu,South,2,veg,0,195,6.3,32.1,4.6,3.9,7,Low,1,"Authentic Tamil Nadu preparation of Oats Idli, served as a breads rice.",Enhances probiotic density and boosts lactic-acid bacteria.,images/46.jpg
47,Kulith Tadka,Dals_Legumes,Pan-India,Pan-India,6,veg,0,233,12.5,41.6,5.7,11.8,8,High,0,"Authentic Pan-India preparation of Kulith Tadka, served as a dals legumes.",Provides dense prebiotic fuel for butyrate-producing SCFA bacteria.,images/47.jpg
48,Chicken Do Pyaza,Main_Course,Pan-India,Pan-India,6,non-veg,1,217,28.1,0.5,8.4,0.0,0,Medium,0,"Authentic Pan-India preparation of Chicken Do Pyaza, served as a main course.",Supports lean muscle synthesis without aggravating bile-tolerant pathogens.,images/48.jpg
49,Ragi Roti,Breads_Rice,Pan-India,Pan-India,6,veg,0,177,6.3,35.5,0.5,3.5,2,Medium,0,"Authentic Pan-India preparation of Ragi Roti, served as a breads rice.","Provides authentic, calorically dense macronutrients for energy restoration.",images/49.jpg
50,Keema Reshmi Kebab,Appetizers,Pan-India,Pan-India,6,non-veg,1,282,21.1,0.5,20.1,0.0,0,Medium,0,"Authentic Pan-India preparation of Keema Reshmi Kebab, served as a appetizers.","Provides authentic, calorically dense macronutrients for energy restoration.",images/50.jpg
51,Cashew Kolhapuri,Main_Course,Maharashtra,West,3,veg,0,149,3.9,13.9,6.8,4.7,3,Medium,0,"Authentic Maharashtra preparation of Cashew Kolhapuri, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/51.jpg
52,Carrot Bhujia,Side_Dish,Pan-India,Pan-India,6,veg,0,138,2.8,18.7,7.0,4.5,3,Medium,0,"Authentic Pan-India preparation of Carrot Bhujia, served as a side dish.","Provides authentic, calorically dense macronutrients for energy restoration.",images/52.jpg
53,Peanut Chutney,Side_Dish,Pan-India,Pan-India,6,veg,0,129,3.0,19.6,6.0,5.8,4,Medium,0,"Authentic Pan-India preparation of Peanut Chutney, served as a side dish.","Provides authentic, calorically dense macronutrients for energy restoration.",images/53.jpg
54,Rajma Amritsari,Dals_Legumes,Punjab,North,1,veg,0,230,16.6,45.0,2.5,11.5,8,High,0,"Authentic Punjab preparation of Rajma Amritsari, served as a dals legumes.",Provides dense prebiotic fuel for butyrate-producing SCFA bacteria.,images/54.jpg
55,Duck Rogan Josh,Main_Course,Jammu & Kashmir,North,1,non-veg,1,140,4.4,19.2,7.6,4.6,3,Medium,0,"Authentic Jammu & Kashmir preparation of Duck Rogan Josh, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/55.jpg
56,Fish Rogan Josh,Main_Course,Jammu & Kashmir,North,1,non-veg,1,184,18.8,3.1,7.1,0.0,0,Low,0,"Authentic Jammu & Kashmir preparation of Fish Rogan Josh, served as a main course.",Low-FODMAP profile prevents bloating and supports IBS management.,images/56.jpg
57,Lauki Thoran,Side_Dish,Kerala,South,2,veg,0,144,5.3,21.1,4.0,4.0,2,Medium,0,"Authentic Kerala preparation of Lauki Thoran, served as a side dish.","Provides authentic, calorically dense macronutrients for energy restoration.",images/57.jpg
58,Lobia Palak,Dals_Legumes,Pan-India,Pan-India,6,veg,0,229,12.1,39.5,3.4,19.4,10,High,0,"Authentic Pan-India preparation of Lobia Palak, served as a dals legumes.",Provides dense prebiotic fuel for butyrate-producing SCFA bacteria.,images/58.jpg
59,Aloo Fry,Side_Dish,Pan-India,Pan-India,6,veg,0,171,4.6,26.7,3.2,5.3,3,Medium,0,"Authentic Pan-India preparation of Aloo Fry, served as a side dish.","Provides authentic, calorically dense macronutrients for energy restoration.",images/59.jpg
60,Aloo Hariyali Tikka,Appetizers,Punjab,North,1,veg,0,146,1.6,33.5,0.5,4.6,3,Medium,0,"Authentic Punjab preparation of Aloo Hariyali Tikka, served as a appetizers.","Provides authentic, calorically dense macronutrients for energy restoration.",images/60.jpg
61,Egg Kachori,Snacks,Pan-India,Pan-India,6,non-veg,1,165,12.4,2.1,13.6,0.2,0,Medium,0,"Authentic Pan-India preparation of Egg Kachori, served as a snacks.","Provides authentic, calorically dense macronutrients for energy restoration.",images/61.jpg
62,Yellow Dal Dhaba Style,Dals_Legumes,Pan-India,Pan-India,6,veg,0,250,14.0,37.6,3.2,12.7,8,High,0,"Authentic Pan-India preparation of Yellow Dal Dhaba Style, served as a dals legumes.",Provides dense prebiotic fuel for butyrate-producing SCFA bacteria.,images/62.jpg
63,Baby Corn Malai Tikka,Appetizers,Punjab,North,1,veg,0,198,3.7,22.3,16.0,3.8,2,Medium,0,"Authentic Punjab preparation of Baby Corn Malai Tikka, served as a appetizers.","Provides authentic, calorically dense macronutrients for energy restoration.",images/63.jpg
64,Lotus Stem Salna,Main_Course,Tamil Nadu,South,2,veg,0,154,7.6,20.6,10.2,4.6,3,Medium,0,"Authentic Tamil Nadu preparation of Lotus Stem Salna, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/64.jpg
65,Carrot Jeera,Side_Dish,Pan-India,Pan-India,6,veg,0,156,6.4,17.4,5.9,3.7,2,Medium,0,"Authentic Pan-India preparation of Carrot Jeera, served as a side dish.","Provides authentic, calorically dense macronutrients for energy restoration.",images/65.jpg
66,Mushroom Tandoori,Appetizers,Pan-India,Pan-India,6,veg,0,92,3.9,12.5,0.7,5.4,3,Medium,0,"Authentic Pan-India preparation of Mushroom Tandoori, served as a appetizers.","Provides authentic, calorically dense macronutrients for energy restoration.",images/66.jpg
67,Kofta Chettinad,Main_Course,Tamil Nadu,South,2,veg,0,120,3.6,19.6,2.6,4.6,3,Medium,0,"Authentic Tamil Nadu preparation of Kofta Chettinad, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/67.jpg
68,Fish Vindaloo,Main_Course,Goa,West,3,non-veg,1,158,3.0,28.9,1.8,3.9,2,Low,0,"Authentic Goa preparation of Fish Vindaloo, served as a main course.",Low-FODMAP profile prevents bloating and supports IBS management.,images/68.jpg
69,Chana Dal Tadka,Dals_Legumes,Pan-India,Pan-India,6,veg,0,260,12.1,42.1,5.6,10.9,7,High,0,"Authentic Pan-India preparation of Chana Dal Tadka, served as a dals legumes.",Provides dense prebiotic fuel for butyrate-producing SCFA bacteria.,images/69.jpg
70,Egg Xacuti,Main_Course,Goa,West,3,non-veg,1,158,13.1,1.4,9.7,0.2,0,Medium,0,"Authentic Goa preparation of Egg Xacuti, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/70.jpg
71,Panchratna Dal Amritsari,Dals_Legumes,Punjab,North,1,veg,0,250,13.5,39.2,5.5,12.3,8,High,0,"Authentic Punjab preparation of Panchratna Dal Amritsari, served as a dals legumes.",Provides dense prebiotic fuel for butyrate-producing SCFA bacteria.,images/71.jpg
72,Beans Mezhukkupuratti,Side_Dish,Pan-India,Pan-India,6,veg,0,142,4.1,21.2,4.3,3.9,2,Medium,0,"Authentic Pan-India preparation of Beans Mezhukkupuratti, served as a side dish.","Provides authentic, calorically dense macronutrients for energy restoration.",images/72.jpg
73,Dabeli,Snacks,Pan-India,Pan-India,6,veg,0,155,6.3,21.6,7.1,3.5,2,Medium,0,"Authentic Pan-India preparation of Dabeli, served as a snacks.","Provides authentic, calorically dense macronutrients for energy restoration.",images/73.jpg
74,Keema Koliwada,Appetizers,Pan-India,Pan-India,6,non-veg,1,262,19.6,2.1,20.5,0.0,0,Medium,0,"Authentic Pan-India preparation of Keema Koliwada, served as a appetizers.","Provides authentic, calorically dense macronutrients for energy restoration.",images/74.jpg
75,Prawn Vindaloo,Main_Course,Goa,West,3,non-veg,1,135,0.9,28.4,3.7,5.0,3,Medium,0,"Authentic Goa preparation of Prawn Vindaloo, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/75.jpg
76,Chicken Butter Masala,Main_Course,Pan-India,Pan-India,6,non-veg,1,307,23.6,9.9,20.5,0.0,0,High,0,"Authentic Pan-India preparation of Chicken Butter Masala, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/76.jpg
77,Aamrakhand,Desserts,Pan-India,Pan-India,6,veg,0,311,4.5,58.1,13.1,0.3,0,Medium,0,"Authentic Pan-India preparation of Aamrakhand, served as a desserts.","Provides authentic, calorically dense macronutrients for energy restoration.",images/77.jpg
78,Bread Pakora,Snacks,Pan-India,Pan-India,6,veg,0,222,4.3,33.6,20.4,5.0,3,Medium,0,"Authentic Pan-India preparation of Bread Pakora, served as a snacks.","Provides authentic, calorically dense macronutrients for energy restoration.",images/78.jpg
79,Chaas,Beverages,Pan-India,Pan-India,6,veg,0,160,5.9,18.0,1.2,3.6,7,Medium,1,"Authentic Pan-India preparation of Chaas, served as a beverages.",Enhances probiotic density and boosts lactic-acid bacteria.,images/79.jpg
80,Cashew Saag,Main_Course,Pan-India,Pan-India,6,veg,0,152,2.3,20.8,4.7,8.5,5,Medium,0,"Authentic Pan-India preparation of Cashew Saag, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/80.jpg
81,Mushroom Pasanda,Main_Course,Pan-India,Pan-India,6,veg,0,94,5.8,6.9,3.2,6.7,4,Medium,0,"Authentic Pan-India preparation of Mushroom Pasanda, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/81.jpg
82,Raw Banana Bhujia,Side_Dish,Pan-India,Pan-India,6,veg,0,132,5.7,25.2,3.0,3.6,2,Medium,0,"Authentic Pan-India preparation of Raw Banana Bhujia, served as a side dish.","Provides authentic, calorically dense macronutrients for energy restoration.",images/82.jpg
83,Chole Makhani,Dals_Legumes,Punjab,North,1,veg,0,348,13.6,44.3,17.6,12.3,8,High,0,"Authentic Punjab preparation of Chole Makhani, served as a dals legumes.",Provides dense prebiotic fuel for butyrate-producing SCFA bacteria.,images/83.jpg
84,Soya Chunks Lababdar,Main_Course,Pan-India,Pan-India,6,veg,0,244,27.5,13.6,6.1,9.6,6,Medium,0,"Authentic Pan-India preparation of Soya Chunks Lababdar, served as a main course.",Supports lean muscle synthesis without aggravating bile-tolerant pathogens.,images/84.jpg
85,Beetroot Jeera,Side_Dish,Pan-India,Pan-India,6,veg,0,135,3.7,23.1,6.6,4.0,2,Medium,0,"Authentic Pan-India preparation of Beetroot Jeera, served as a side dish.","Provides authentic, calorically dense macronutrients for energy restoration.",images/85.jpg
86,Palak Bonda,Snacks,Pan-India,Pan-India,6,veg,0,136,3.0,17.6,7.1,8.1,5,Medium,0,"Authentic Pan-India preparation of Palak Bonda, served as a snacks.","Provides authentic, calorically dense macronutrients for energy restoration.",images/86.jpg
87,Prawn Achari Tikka,Appetizers,Punjab,North,1,non-veg,1,167,20.0,0.5,5.8,0.0,0,Medium,0,"Authentic Punjab preparation of Prawn Achari Tikka, served as a appetizers.","Provides authentic, calorically dense macronutrients for energy restoration.",images/87.jpg
88,Mushroom Malai Tikka,Appetizers,Punjab,North,1,veg,0,111,4.3,14.7,11.4,4.5,3,Medium,0,"Authentic Punjab preparation of Mushroom Malai Tikka, served as a appetizers.","Provides authentic, calorically dense macronutrients for energy restoration.",images/88.jpg
89,Makki Ki Roti,Breads_Rice,Pan-India,Pan-India,6,veg,0,187,5.9,35.5,2.8,4.4,3,Medium,0,"Authentic Pan-India preparation of Makki Ki Roti, served as a breads rice.","Provides authentic, calorically dense macronutrients for energy restoration.",images/89.jpg
90,Gobi Tikka,Appetizers,Punjab,North,1,veg,0,75,6.0,6.0,0.5,6.3,4,Medium,0,"Authentic Punjab preparation of Gobi Tikka, served as a appetizers.","Provides authentic, calorically dense macronutrients for energy restoration.",images/90.jpg
91,Moong Dal Halwa,Desserts,Pan-India,Pan-India,6,veg,0,237,18.9,45.8,3.6,11.9,8,Medium,0,"Authentic Pan-India preparation of Moong Dal Halwa, served as a desserts.",Provides dense prebiotic fuel for butyrate-producing SCFA bacteria.,images/91.jpg
92,Navratan Kadai,Main_Course,Pan-India,Pan-India,6,veg,0,158,7.5,21.0,2.6,4.4,3,Medium,0,"Authentic Pan-India preparation of Navratan Kadai, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/92.jpg
93,Mutton Jalfrezi,Main_Course,Pan-India,Pan-India,6,non-veg,1,295,22.7,3.6,22.2,0.4,0,Medium,0,"Authentic Pan-India preparation of Mutton Jalfrezi, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/93.jpg
94,Carrot Fry,Side_Dish,Pan-India,Pan-India,6,veg,0,157,3.9,18.2,4.8,3.1,2,Medium,0,"Authentic Pan-India preparation of Carrot Fry, served as a side dish.","Provides authentic, calorically dense macronutrients for energy restoration.",images/94.jpg
95,Chicken Bonda,Snacks,Pan-India,Pan-India,6,non-veg,1,217,24.8,0.5,8.5,0.0,0,Medium,0,"Authentic Pan-India preparation of Chicken Bonda, served as a snacks.",Supports lean muscle synthesis without aggravating bile-tolerant pathogens.,images/95.jpg
96,Basundi,Desserts,Pan-India,Pan-India,6,veg,0,337,2.2,56.2,16.4,1.5,1,Medium,0,"Authentic Pan-India preparation of Basundi, served as a desserts.","Provides authentic, calorically dense macronutrients for energy restoration.",images/96.jpg
97,Egg Do Pyaza,Main_Course,Pan-India,Pan-India,6,non-veg,1,138,12.9,0.5,12.5,0.1,0,Medium,0,"Authentic Pan-India preparation of Egg Do Pyaza, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/97.jpg
98,Kala Chana Dhaba Style,Dals_Legumes,Pan-India,Pan-India,6,veg,0,256,14.3,42.4,1.9,12.4,8,High,0,"Authentic Pan-India preparation of Kala Chana Dhaba Style, served as a dals legumes.",Provides dense prebiotic fuel for butyrate-producing SCFA bacteria.,images/98.jpg
99,Puran Poli,Desserts,Pan-India,Pan-India,6,veg,0,316,3.2,57.6,11.2,0.0,0,Medium,0,"Authentic Pan-India preparation of Puran Poli, served as a desserts.","Provides authentic, calorically dense macronutrients for energy restoration.",images/99.jpg
100,Prawn Korma,Main_Course,Uttar Pradesh,North,1,non-veg,1,181,19.7,1.6,7.6,1.1,0,Medium,0,"Authentic Uttar Pradesh preparation of Prawn Korma, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/100.jpg
101,Rice Kheer,Desserts,Pan-India,Pan-India,6,veg,0,272,4.8,45.0,4.3,2.8,1,Low,0,"Authentic Pan-India preparation of Rice Kheer, served as a desserts.",Low-FODMAP profile prevents bloating and supports IBS management.,images/101.jpg
102,Palak Kachori,Snacks,Pan-India,Pan-India,6,veg,0,122,3.1,18.4,5.1,9.5,6,Medium,0,"Authentic Pan-India preparation of Palak Kachori, served as a snacks.","Provides authentic, calorically dense macronutrients for energy restoration.",images/102.jpg
103,Prawn Chettinad,Main_Course,Tamil Nadu,South,2,non-veg,1,192,21.1,5.0,9.4,0.4,0,Medium,0,"Authentic Tamil Nadu preparation of Prawn Chettinad, served as a main course.",Supports lean muscle synthesis without aggravating bile-tolerant pathogens.,images/103.jpg
104,Mutton Lababdar,Main_Course,Pan-India,Pan-India,6,non-veg,1,307,21.3,2.5,20.6,0.0,0,Medium,0,"Authentic Pan-India preparation of Mutton Lababdar, served as a main course.","Provides authentic, calorically dense macronutrients for energy restoration.",images/104.jpg
105,Chicken Achari Tikka,Appetizers,Punjab,North,1,non-veg,1,194,25.3,0.5,9.7,0.4,0,Medium,0,"Authentic Punjab preparation of Chicken Achari Tikka, served as a appetizers.",Supports lean muscle synthesis without aggravating bile-tolerant pathogens.,images/105.jpg
106,Fish Gassi,Main_Course,Karnataka,South,2,non-veg,1,171,18.8,0.5,7.7,0.0,0,Low,0,"Authentic Karnataka preparation of Fish Gassi, served as a main course.",Low-FODMAP profile prevents bloating and supports IBS management.,images/106.jpg
